CustomerID,FirstName,LastName,Email,Age,Gender,Country,City,Segment,RegistrationDate,TenureDays,IsActive,TotalOrders,TotalRevenue,TotalNetRevenue,AvgOrderValue,MaxOrderValue,TotalQuantity,UniqueCategories,FirstPurchaseDate,LastPurchaseDate,DaysSinceLastPurchase,OrderFrequencyPerMonth,CLV,TotalTransactions,TotalTransactionAmount,AvgTransactionAmount,RevenueTier,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,IsChurned,ChurnProbability,ChurnPrediction,ChurnRiskBand,ETLTimestamp,RevenuePerDay,IsHighValue,IsNewCustomer,ExportDate
CUST00001,Aiden,Perez,aiden.perez0@example.com,56,Prefer not to say,Sweden,City_48,Startup,2024-09-20 07:33:32,101,True,3.0,3469.58,3432.27,1156.53,1441.81,16.0,2.0,2024-02-15 21:46:13,2024-10-09 01:43:49,82.0,0.29,11947.14,12.0,14106.14,1175.51,High,3,2,1,6,Promising,0,0.03,0,Low,2026-05-07 22:22:23.740018,34.35,0,0,2026-05-07
CUST00002,Richard,Harris,richard.harris1@example.com,46,Prefer not to say,United States,City_40,Individual,2022-06-22 22:43:23,921,True,3.0,12100.81,12056.04,4033.6,5565.83,30.0,2.0,2024-05-29 07:05:24,2024-08-29 18:40:58,123.0,0.42,61629.71,6.0,10056.22,1676.04,VIP,3,2,3,8,Potential Loyal,1,0.97,1,High,2026-05-07 22:22:23.740018,13.14,0,0,2026-05-07
CUST00003,Thomas,Robinson,thomas.robinson2@example.com,46,Female,Australia,City_16,SMB,2022-02-08 20:28:06,1055,True,5.0,24452.2,24381.3,4890.44,9456.04,107.0,4.0,2024-04-08 12:15:12,2024-10-08 16:44:45,83.0,0.57,100658.49,11.0,12618.2,1147.11,VIP,3,4,5,12,Loyal,0,0.05,0,Low,2026-05-07 22:22:23.740018,23.18,1,0,2026-05-07
CUST00004,John,Lee,john.lee3@example.com,32,Non-binary,France,Unknown,Enterprise,2023-03-04 05:50:10,667,True,4.0,11918.03,11845.09,2979.51,9269.52,64.0,3.0,2023-01-16 03:34:05,2024-02-13 20:38:15,320.0,0.17,18277.65,15.0,15067.66,1004.51,VIP,1,3,3,7,At Risk,1,1.0,1,High,2026-05-07 22:22:23.740018,17.87,0,0,2026-05-07
CUST00005,Mia,Gonzalez,mia.gonzalez4@example.com,60,Male,Netherlands,City_24,Individual,2023-01-16 10:13:48,714,True,4.0,8183.49,8166.52,2045.87,6206.31,62.0,2.0,2022-03-07 05:37:34,2023-03-11 14:58:55,660.0,0.12,8708.38,17.0,13610.34,800.61,High,1,3,2,6,Need Attention,1,1.0,1,High,2026-05-07 22:22:23.740018,11.46,0,0,2026-05-07
CUST00006,James,Thomas,james.thomas5@example.com,25,Male,United Kingdom,City_38,Individual,2022-12-13 17:53:58,748,True,4.0,22886.4,22825.15,5721.6,11212.83,92.0,4.0,2024-01-01 00:51:38,2024-10-20 00:55:05,71.0,0.33,68847.82,10.0,13277.37,1327.74,VIP,4,3,5,12,Loyal,0,0.05,0,Low,2026-05-07 22:22:23.740018,30.6,1,0,2026-05-07
CUST00007,Evelyn,Harris,evelyn.harris6@example.com,38,Non-binary,Sweden,City_32,Individual,2022-08-05 18:21:03,878,True,5.0,14504.83,14449.93,2900.97,10275.2,79.0,2.0,2024-02-23 04:27:40,2024-12-27 06:11:42,3.0,0.49,51070.06,5.0,5311.55,1062.31,VIP,5,4,4,13,Champion,0,0.02,0,Low,2026-05-07 22:22:23.740018,16.52,0,0,2026-05-07
CUST00008,Benjamin,Anderson,benjamin.anderson7@example.com,56,Male,Germany,City_50,SMB,2022-06-09 05:17:49,935,True,7.0,20592.35,20486.55,2941.76,5975.89,113.0,5.0,2024-03-07 21:28:37,2024-10-14 22:37:14,76.0,0.72,75921.29,15.0,14315.29,954.35,VIP,3,5,5,13,Loyal,0,0.01,0,Low,2026-05-07 22:22:23.740018,22.02,1,0,2026-05-07
CUST00009,Richard,Clark,richard.clark8@example.com,36,Non-binary,Italy,City_50,Individual,2024-11-17 05:11:07,43,True,1.0,4118.35,4105.64,4118.35,4118.35,24.0,1.0,2024-11-24 06:34:52,2024-11-24 06:34:52,36.0,0.85,125266.48,13.0,13617.96,1047.54,High,4,1,1,6,New Customer,0,0.02,0,Low,2026-05-07 22:22:23.740018,95.78,0,0,2026-05-07
CUST00010,Emma,Williams,emma.williams9@example.com,40,Non-binary,Belgium,City_13,Startup,2024-04-27 04:44:17,247,False,6.0,16058.37,15987.2,2676.4,5138.61,112.0,4.0,2024-02-29 02:08:03,2024-12-14 04:06:04,16.0,0.6,57652.18,19.0,15295.11,805.01,VIP,5,5,4,14,Champion,0,0.03,0,Low,2026-05-07 22:22:23.740018,65.01,0,0,2026-05-07
CUST00011,Mia,Lee,mia.lee10@example.com,28,Prefer not to say,Germany,City_47,Enterprise,2022-05-16 01:18:52,959,True,6.0,19984.11,19918.58,3330.68,7708.94,82.0,4.0,2024-01-22 11:41:15,2024-09-24 16:16:31,97.0,0.53,63797.67,12.0,11120.47,926.71,VIP,3,5,5,13,Loyal,1,0.94,1,High,2026-05-07 22:22:23.740018,20.84,1,0,2026-05-07
CUST00012,Robert,Walker,robert.walker11@example.com,28,Prefer not to say,Germany,City_35,Individual,2024-07-06 07:09:23,177,True,5.0,8910.48,8845.27,1782.1,3674.01,73.0,4.0,2024-02-02 11:06:39,2024-10-26 15:06:58,65.0,0.46,29388.48,16.0,12653.67,790.85,High,4,4,2,10,Need Attention,0,0.0,0,Low,2026-05-07 22:22:23.740018,50.34,0,0,2026-05-07
CUST00013,Olivia,Harris,olivia.harris12@example.com,41,Female,France,City_49,Enterprise,2023-10-18 10:23:08,439,True,6.0,31029.95,30955.24,5171.66,8627.96,99.0,5.0,2024-03-10 11:16:09,2024-11-06 07:27:19,54.0,0.62,115178.97,11.0,10509.99,955.45,VIP,4,5,5,14,Champion,0,0.0,0,Low,2026-05-07 22:22:23.740018,70.68,1,0,2026-05-07
CUST00014,Liam,Harris,liam.harris13@example.com,70,Prefer not to say,Netherlands,City_16,SMB,2022-02-19 08:56:39,1045,True,2.0,15658.57,15633.69,7829.28,11548.26,49.0,2.0,2024-04-20 09:41:35,2024-10-23 02:31:32,68.0,0.24,67504.47,10.0,11105.02,1110.5,VIP,4,1,4,9,New Customer,0,0.06,0,Low,2026-05-07 22:22:23.740018,14.98,0,0,2026-05-07
